Title: ,KH03 Returns,,,
01/09/2014,RTK,Ashford And St Peter's Hospitals,NA,NA
01/09/2014,RTP,Surrey And Sussex Healthcare,NA,NA
01/09/2014,RTQ,2gether,204,190
01/09/2014,RTR,South Tees Hospitals,NA,NA
01/09/2014,RTV,5 Boroughs Partnership,305,287
01/09/2014,RTX,University Hospitals Of Morecambe Bay,NA,NA
01/09/2014,RV3,Central And North West London,838,806
01/09/2014,RV5,South London And Maudsley,795,683
01/09/2014,RV8,North West London Hospitals,NA,NA
01/09/2014,RV9,Humber,220,174
01/09/2014,RVJ,North Bristol,20,16
01/09/2014,RVN,Avon And Wiltshire Mental Health Partnership,536,500
01/09/2014,RVR,Epsom And St Helier University Hospitals,NA,NA
01/09/2014,RVV,East Kent Hospitals University,NA,NA
01/09/2014,RVW,North Tees And Hartlepool,NA,NA
01/09/2014,RVY,Southport And Ormskirk Hospital,NA,NA
01/09/2014,RW1,Southern Health,458,414
01/09/2014,RW3,Central Manchester University Hospitals,10,9
01/09/2014,RW4,Mersey Care,633,558
01/09/2014,RW5,Lancashire Care,516,472
01/09/2014,RW6,Pennine Acute Hospitals,NA,NA
01/09/2014,RWA,Hull And East Yorkshire Hospitals,NA,NA
01/09/2014,RWD,United Lincolnshire Hospitals,NA,NA
01/09/2014,RWE,University Hospitals Of Leicester,NA,NA
01/09/2014,RWF,Maidstone And Tunbridge Wells,NA,NA
01/09/2014,RWG,West Hertfordshire Hospitals,NA,NA
01/09/2014,RWH,East And North Hertfordshire,NA,NA
01/09/2014,RWJ,Stockport,NA,NA
01/09/2014,RWK,East London,693,585
01/09/2014,RWN,South Essex Partnership University,616,557
01/09/2014,RWP,Worcestershire Acute Hospitals,NA,NA
01/09/2014,RWR,Hertfordshire Partnership University,486,437
01/09/2014,RWV,Devon Partnership,292,279
01/09/2014,RWW,Warrington And Halton Hospitals,NA,NA
01/09/2014,RWX,Berkshire Healthcare,150,128
01/09/2014,RWY,Calderdale And Huddersfield,NA,NA
01/09/2014,RX1,Nottingham University Hospitals,NA,NA
01/09/2014,RX2,Sussex Partnership,580,533
01/09/2014,RX3,"Tees, Esk And Wear Valleys",710,630
01/09/2014,RX4,"Northumberland, Tyne And Wear",740,577
01/09/2014,RXA,Cheshire And Wirral Partnership,308,267
01/09/2014,RXC,East Sussex Healthcare,NA,NA
01/09/2014,RXE,Rotherham Doncaster And South Humber,260,214
01/09/2014,RXF,Mid Yorkshire Hospitals,NA,NA
01/09/2014,RXG,South West Yorkshire Partnership,455,403
01/09/2014,RXH,Brighton And Sussex University Hospitals,NA,NA
01/09/2014,RXK,Sandwell And West Birmingham Hospitals,NA,NA
01/09/2014,RXL,Blackpool Teaching Hospitals,NA,NA
01/09/2014,RXM,Derbyshire Healthcare,311,311
01/09/2014,RXN,Lancashire Teaching Hospitals,NA,NA
01/09/2014,RXP,County Durham And Darlington,NA,NA
01/09/2014,RXQ,Buckinghamshire Healthcare,NA,NA
01/09/2014,RXR,East Lancashire Hospitals,NA,NA
01/09/2014,RXT,Birmingham And Solihull Mental Health,690,652
01/09/2014,RXV,Greater Manchester West Mental Health,588,541
01/09/2014,RXW,Shrewsbury And Telford Hospital,NA,NA
01/09/2014,RXX,Surrey And Borders Partnership,258,205
01/09/2014,RXY,Kent And Medway NHS And Social Care Partnership Trust,523,481
01/09/2014,RY3,Norfolk Community Health And Care,NA,NA
01/09/2014,RY4,Hertfordshire Community,NA,NA
01/09/2014,RY5,Lincolnshire Community Health Services,NA,NA
01/09/2014,RY6,Leeds Community Healthcare,8,7
01/09/2014,RY8,Derbyshire Community Health Services,70,58
01/09/2014,RYG,Coventry And Warwickshire Partnership,263,239
01/09/2014,RYJ,Imperial College Healthcare,NA,NA
01/09/2014,RYK,Dudley And Walsall Mental Health Partnership,190,163
01/09/2014,RYR,Western Sussex Hospitals,NA,NA
01/09/2014,RYV,Cambridgeshire Community Services,NA,NA
01/09/2014,RYW,Birmingham Community Healthcare,NA,NA
01/09/2014,RYX,Central London Community Healthcare,NA,NA
01/09/2014,TAD,Bradford District Care,196,186
01/09/2014,TAE,Manchester Mental Health And Social Care Trust,252,238
01/09/2014,TAF,Camden And Islington,175,170
01/09/2014,TAH,Sheffield Health & Social Care,234,201
01/09/2014,TAJ,Black Country Partnership,158,129
01/12/2014,R1A,Worcestershire Health And Care,129,113
01/12/2014,R1C,Solent,104,53
01/12/2014,R1E,Staffordshire And Stoke On Trent Partnership,NA,NA
01/12/2014,R1F,Isle Of Wight,57,47
01/12/2014,R1H,Barts Health,NA,NA
01/12/2014,R1J,Gloucestershire Care Services,NA,NA
01/12/2014,R1K,London North West Healthcare,NA,NA
01/12/2014,RA2,Royal Surrey County Hospital,NA,NA
01/12/2014,RA3,Weston Area Health,NA,NA
01/12/2014,RA4,Yeovil District Hospital,NA,NA
01/12/2014,RA7,University Hospitals Bristol,NA,NA
01/12/2014,RA9,Torbay And South Devon,NA,NA
01/12/2014,RAE,Bradford Teaching Hospitals,NA,NA
01/12/2014,RAJ,Southend University Hospital,NA,NA
01/12/2014,RAL,Royal Free London,6,2
01/12/2014,RAN,Royal National Orthopaedic Hospital,NA,NA
01/12/2014,RAP,North Middlesex University Hospital,NA,NA
01/12/2014,RAS,The Hillingdon Hospitals,NA,NA
01/12/2014,RAT,North East London,210,188
01/12/2014,RAX,Kingston Hospital,NA,NA
01/12/2014,RBA,Taunton And Somerset,NA,NA
01/12/2014,RBB,Royal National Hospital For Rheumatic Diseases,NA,NA
01/12/2014,RBD,Dorset County Hospital,NA,NA
01/12/2014,RBK,Walsall Healthcare,NA,NA
01/12/2014,RBL,Wirral University Teaching Hospital,NA,NA
01/12/2014,RBN,St Helens And Knowsley Hospitals,NA,NA
01/12/2014,RBQ,Liverpool Heart And Chest Hospital,NA,NA
01/12/2014,RBS,Alder Hey Children's,7,6
01/12/2014,RBT,Mid Cheshire Hospitals,NA,NA
01/12/2014,RBV,The Christie,NA,NA
01/12/2014,RBZ,Northern Devon Healthcare,NA,NA
01/12/2014,RC1,Bedford Hospital,NA,NA
01/12/2014,RC9,Luton And Dunstable University Hospital,NA,NA
01/12/2014,RCB,York Teaching Hospital,NA,NA
01/12/2014,RCD,Harrogate And District,NA,NA
01/12/2014,RCF,Airedale,NA,NA
01/12/2014,RCU,Sheffield Children's,23,19
01/12/2014,RCX,"The Queen Elizabeth Hospital, King's Lynn,",NA,NA
01/12/2014,RD1,Royal United Hospitals Bath,NA,NA
01/12/2014,RD3,Poole Hospital,NA,NA
01/12/2014,RD8,Milton Keynes University Hospital,NA,NA
01/12/2014,RDD,Basildon And Thurrock University Hospitals,NA,NA
01/12/2014,RDE,Colchester Hospital University,NA,NA
01/12/2014,RDR,Sussex Community,NA,NA
01/12/2014,RDU,Frimley Health,NA,NA
01/12/2014,RDY,Dorset Healthcare University,NA,NA
01/12/2014,RDZ,The Royal Bournemouth And Christchurch Hospitals,NA,NA
01/12/2014,RE9,South Tyneside,NA,NA
01/12/2014,REF,Royal Cornwall Hospitals,NA,NA
01/12/2014,REM,Aintree University Hospital,NA,NA
01/12/2014,REN,The Clatterbridge Cancer Centre,NA,NA
01/12/2014,REP,Liverpool Women's,NA,NA
01/12/2014,RET,The Walton Centre,NA,NA
01/12/2014,RF4,"Barking, Havering And Redbridge University Hospitals",NA,NA
01/12/2014,RFF,Barnsley Hospital,NA,NA
01/12/2014,RFR,The Rotherham,NA,NA
01/12/2014,RFS,Chesterfield Royal Hospital,NA,NA
01/12/2014,RFW,West Middlesex University Hospital,NA,NA
01/12/2014,RGD,Leeds And York Partnership,506,453
01/12/2014,RGM,Papworth Hospital,NA,NA
01/12/2014,RGN,Peterborough And Stamford Hospitals,NA,NA
01/12/2014,RGP,James Paget University Hospitals,NA,NA
01/12/2014,RGQ,Ipswich Hospital,NA,NA
01/12/2014,RGR,West Suffolk,NA,NA
01/12/2014,RGT,Cambridge University Hospitals,NA,NA
01/12/2014,RH5,Somerset Partnership,146,122
01/12/2014,RH8,Royal Devon And Exeter,NA,NA
01/12/2014,RHA,Nottinghamshire Healthcare,939,829
01/12/2014,RHM,University Hospital Southampton,NA,NA
01/12/2014,RHQ,Sheffield Teaching Hospitals,NA,NA
01/12/2014,RHU,Portsmouth Hospitals,NA,NA
01/12/2014,RHW,Royal Berkshire,NA,NA
01/12/2014,RJ1,Guy's And St Thomas',NA,NA
01/12/2014,RJ2,Lewisham And Greenwich,NA,NA
01/12/2014,RJ6,Croydon Health Services,NA,NA
01/12/2014,RJ7,St George's University Hospitals,NA,NA
01/12/2014,RJ8,Cornwall Partnership,104,83
01/12/2014,RJC,South Warwickshire,NA,NA
01/12/2014,RJD,Mid Staffordshire,NA,NA
01/12/2014,RJE,University Hospitals Of North Midlands,NA,NA
01/12/2014,RJF,Burton Hospitals,NA,NA
01/12/2014,RJL,Northern Lincolnshire And Goole,NA,NA
01/12/2014,RJN,East Cheshire,NA,NA
01/12/2014,RJR,Countess Of Chester Hospital,NA,NA
01/12/2014,RJX,Calderstones Partnership,NA,NA
01/12/2014,RJZ,King's College Hospital,NA,NA
01/12/2014,RK5,Sherwood Forest Hospitals,NA,NA
01/12/2014,RK9,Plymouth Hospitals,NA,NA
01/12/2014,RKB,University Hospitals Coventry And Warwickshire,NA,NA
01/12/2014,RKE,The Whittington Hospital,12,10
01/12/2014,RKL,West London Mental Health,765,695
01/12/2014,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital,NA,NA
01/12/2014,RL4,The Royal Wolverhampton,NA,NA
01/12/2014,RLN,City Hospitals Sunderland,NA,NA
01/12/2014,RLQ,Wye Valley,NA,NA
01/12/2014,RLT,George Eliot Hospital,NA,NA
01/12/2014,RLU,Birmingham Women's,NA,NA
01/12/2014,RLY,North Staffordshire Combined Healthcare,173,134
01/12/2014,RM1,Norfolk And Norwich University Hospitals,NA,NA
01/12/2014,RM2,University Hospital Of South Manchester,NA,NA
01/12/2014,RM3,Salford Royal,NA,NA
01/12/2014,RMC,Bolton,NA,NA
01/12/2014,RMP,Tameside Hospital,NA,NA
01/12/2014,RMY,Norfolk And Suffolk,448,393
01/12/2014,RN3,Great Western Hospitals,NA,NA
01/12/2014,RN5,Hampshire Hospitals,NA,NA
01/12/2014,RN7,Dartford And Gravesham,NA,NA
01/12/2014,RNA,The Dudley Group,NA,NA
01/12/2014,RNL,North Cumbria University Hospitals,NA,NA
01/12/2014,RNN,Cumbria Partnership,122,116
01/12/2014,RNQ,Kettering General Hospital,NA,NA
01/12/2014,RNS,Northampton General Hospital,NA,NA
01/12/2014,RNU,Oxford Health,404,367
01/12/2014,RNZ,Salisbury,NA,NA
01/12/2014,RP1,Northamptonshire Healthcare,206,178
01/12/2014,RP4,Great Ormond Street Hospital For Children,10,7
01/12/2014,RP5,Doncaster And Bassetlaw Hospitals,NA,NA
01/12/2014,RP6,Moorfields Eye Hospital,NA,NA
01/12/2014,RP7,Lincolnshire Partnership,237,206
01/12/2014,RPA,Medway,NA,NA
01/12/2014,RPC,Queen Victoria Hospital,NA,NA
01/12/2014,RPG,Oxleas,441,409
01/12/2014,RPY,The Royal Marsden,NA,NA
01/12/2014,RQ3,Birmingham Children's Hospital,34,33
01/12/2014,RQ6,Royal Liverpool And Broadgreen University Hospitals,NA,NA
01/12/2014,RQ8,Mid Essex Hospital Services,NA,NA
01/12/2014,RQM,Chelsea And Westminster Hospital,NA,NA
01/12/2014,RQQ,Hinchingbrooke Health Care,NA,NA
01/12/2014,RQX,Homerton University Hospital,NA,NA
01/12/2014,RQY,South West London And St George's Mental Health,399,377
01/12/2014,RR1,Heart Of England,NA,NA
01/12/2014,RR7,Gateshead Health,33,26
01/12/2014,RR8,Leeds Teaching Hospitals,NA,NA
01/12/2014,RRD,North Essex Partnership University,336,326
01/12/2014,RRE,South Staffordshire And Shropshire Healthcare,274,274
01/12/2014,RRF,"Wrightington, Wigan And Leigh",NA,NA
01/12/2014,RRJ,The Royal Orthopaedic Hospital,NA,NA
01/12/2014,RRK,University Hospitals Birmingham,NA,NA
01/12/2014,RRP,"Barnet, Enfield And Haringey Mental Health",508,503
01/12/2014,RRV,University College London Hospitals,12,6
01/12/2014,RT1,Cambridgeshire And Peterborough,249,225
01/12/2014,RT2,Pennine Care,504,445
01/12/2014,RT3,Royal Brompton & Harefield,NA,NA
01/12/2014,RT5,Leicestershire Partnership,407,362
01/12/2014,RTD,The Newcastle Upon Tyne Hospitals,NA,NA
01/12/2014,RTE,Gloucestershire Hospitals,NA,NA
01/12/2014,RTF,Northumbria Healthcare,45,31
01/12/2014,RTG,Derby Teaching Hospitals,NA,NA
01/12/2014,RTH,Oxford University Hospitals,NA,NA
01/12/2014,RTK,Ashford And St Peter's Hospitals,NA,NA
01/12/2014,RTP,Surrey And Sussex Healthcare,NA,NA
01/12/2014,RTQ,2gether,206,197
01/12/2014,RTR,South Tees Hospitals,NA,NA
01/12/2014,RTV,5 Boroughs Partnership,307,281
01/12/2014,RTX,University Hospitals Of Morecambe Bay,NA,NA
01/12/2014,RV3,Central And North West London,842,765
01/12/2014,RV5,South London And Maudsley,797,710
01/12/2014,RV9,Humber,216,177
01/12/2014,RVJ,North Bristol,20,15
01/12/2014,RVN,Avon And Wiltshire Mental Health Partnership,536,472
01/12/2014,RVR,Epsom And St Helier University Hospitals,NA,NA
01/12/2014,RVV,East Kent Hospitals University,NA,NA
01/12/2014,RVW,North Tees And Hartlepool,NA,NA
01/12/2014,RVY,Southport And Ormskirk Hospital,NA,NA
01/12/2014,RW1,Southern Health,453,399
01/12/2014,RW3,Central Manchester University Hospitals,10,9
01/12/2014,RW4,Mersey Care,617,533
01/12/2014,RW5,Lancashire Care,499,459
01/12/2014,RW6,Pennine Acute Hospitals,NA,NA
01/12/2014,RWA,Hull And East Yorkshire Hospitals,NA,NA
01/12/2014,RWD,United Lincolnshire Hospitals,NA,NA
01/12/2014,RWE,University Hospitals Of Leicester,NA,NA
01/12/2014,RWF,Maidstone And Tunbridge Wells,NA,NA
01/12/2014,RWG,West Hertfordshire Hospitals,NA,NA
01/12/2014,RWH,East And North Hertfordshire,NA,NA
01/12/2014,RWJ,Stockport,NA,NA
01/12/2014,RWK,East London,698,573
01/12/2014,RWN,South Essex Partnership University,615,567
01/12/2014,RWP,Worcestershire Acute Hospitals,NA,NA
01/12/2014,RWR,Hertfordshire Partnership University,453,445
01/12/2014,RWV,Devon Partnership,289,272
01/12/2014,RWW,Warrington And Halton Hospitals,NA,NA
01/12/2014,RWX,Berkshire Healthcare,150,120
01/12/2014,RWY,Calderdale And Huddersfield,NA,NA
01/12/2014,RX1,Nottingham University Hospitals,NA,NA
01/12/2014,RX2,Sussex Partnership,593,536
01/12/2014,RX3,"Tees, Esk And Wear Valleys",710,623
01/12/2014,RX4,"Northumberland, Tyne And Wear",696,566
01/12/2014,RXA,Cheshire And Wirral Partnership,308,258
01/12/2014,RXC,East Sussex Healthcare,NA,NA
01/12/2014,RXE,Rotherham Doncaster And South Humber,269,197
01/12/2014,RXF,Mid Yorkshire Hospitals,NA,NA
01/12/2014,RXG,South West Yorkshire Partnership,455,401
01/12/2014,RXH,Brighton And Sussex University Hospitals,NA,NA
01/12/2014,RXK,Sandwell And West Birmingham Hospitals,NA,NA
01/12/2014,RXL,Blackpool Teaching Hospitals,NA,NA
01/12/2014,RXM,Derbyshire Healthcare,311,305
01/12/2014,RXN,Lancashire Teaching Hospitals,NA,NA
01/12/2014,RXP,County Durham And Darlington,NA,NA
01/12/2014,RXQ,Buckinghamshire Healthcare,NA,NA
01/12/2014,RXR,East Lancashire Hospitals,NA,NA
01/12/2014,RXT,Birmingham And Solihull Mental Health,681,655
01/12/2014,RXV,Greater Manchester West Mental Health,568,503
01/12/2014,RXW,Shrewsbury And Telford Hospital,NA,NA
01/12/2014,RXX,Surrey And Borders Partnership,245,199
01/12/2014,RXY,Kent And Medway NHS And Social Care Partnership Trust,523,495
01/12/2014,RY3,Norfolk Community Health And Care,NA,NA
01/12/2014,RY4,Hertfordshire Community,NA,NA
01/12/2014,RY5,Lincolnshire Community Health Services,NA,NA
01/12/2014,RY6,Leeds Community Healthcare,8,7
01/12/2014,RY8,Derbyshire Community Health Services,53,49
01/12/2014,RYG,Coventry And Warwickshire Partnership,256,229
01/12/2014,RYJ,Imperial College Healthcare,NA,NA
01/12/2014,RYK,Dudley And Walsall Mental Health Partnership,191,173
01/12/2014,RYR,Western Sussex Hospitals,NA,NA
01/12/2014,RYV,Cambridgeshire Community Services,NA,NA
01/12/2014,RYW,Birmingham Community Healthcare,NA,NA
01/12/2014,RYX,Central London Community Healthcare,NA,NA
01/12/2014,TAD,Bradford District Care,196,187
01/12/2014,TAE,Manchester Mental Health And Social Care Trust,252,238
01/12/2014,TAF,Camden And Islington,163,162
01/12/2014,TAH,Sheffield Health & Social Care,234,194
01/12/2014,TAJ,Black Country Partnership,158,135
01/03/2015,R1A,Worcestershire Health And Care,129,112
01/03/2015,R1C,Solent,104,59
01/03/2015,R1E,Staffordshire And Stoke On Trent Partnership,NA,NA
01/03/2015,R1F,Isle Of Wight,58,53
01/03/2015,R1H,Barts Health,NA,NA
01/03/2015,R1J,Gloucestershire Care Services,NA,NA
01/03/2015,R1K,London North West Healthcare,NA,NA
01/03/2015,RA2,Royal Surrey County Hospital,NA,NA
01/03/2015,RA3,Weston Area Health,NA,NA
01/03/2015,RA4,Yeovil District Hospital,NA,NA
01/03/2015,RA7,University Hospitals Bristol,NA,NA
01/03/2015,RA9,Torbay And South Devon,NA,NA
01/03/2015,RAE,Bradford Teaching Hospitals,NA,NA
01/03/2015,RAJ,Southend University Hospital,NA,NA
01/03/2015,RAL,Royal Free London,6,3
01/03/2015,RAN,Royal National Orthopaedic Hospital,NA,NA
01/03/2015,RAP,North Middlesex University Hospital,NA,NA
01/03/2015,RAS,The Hillingdon Hospitals,NA,NA
01/03/2015,RAT,North East London,210,190
01/03/2015,RAX,Kingston Hospital,NA,NA
01/03/2015,RBA,Taunton And Somerset,NA,NA
01/03/2015,RBD,Dorset County Hospital,NA,NA
01/03/2015,RBK,Walsall Healthcare,NA,NA
01/03/2015,RBL,Wirral University Teaching Hospital,NA,NA
01/03/2015,RBN,St Helens And Knowsley Hospitals,NA,NA
01/03/2015,RBQ,Liverpool Heart And Chest Hospital,NA,NA
01/03/2015,RBS,Alder Hey Children's,7,5
01/03/2015,RBT,Mid Cheshire Hospitals,NA,NA
01/03/2015,RBV,The Christie,NA,NA
01/03/2015,RBZ,Northern Devon Healthcare,NA,NA
01/03/2015,RC1,Bedford Hospital,NA,NA
01/03/2015,RC9,Luton And Dunstable University Hospital,NA,NA
01/03/2015,RCB,York Teaching Hospital,NA,NA
01/03/2015,RCD,Harrogate And District,NA,NA
01/03/2015,RCF,Airedale,NA,NA
01/03/2015,RCU,Sheffield Children's,23,22
01/03/2015,RCX,"The Queen Elizabeth Hospital, King's Lynn,",NA,NA
01/03/2015,RD1,Royal United Hospitals Bath,NA,NA
01/03/2015,RD3,Poole Hospital,NA,NA
01/03/2015,RD8,Milton Keynes University Hospital,NA,NA
01/03/2015,RDD,Basildon And Thurrock University Hospitals,NA,NA
01/03/2015,RDE,Colchester Hospital University,NA,NA
01/03/2015,RDR,Sussex Community,NA,NA
01/03/2015,RDU,Frimley Health,NA,NA
01/03/2015,RDY,Dorset Healthcare University,NA,NA
01/03/2015,RDZ,The Royal Bournemouth And Christchurch Hospitals,NA,NA
01/03/2015,RE9,South Tyneside,NA,NA
01/03/2015,REF,Royal Cornwall Hospitals,NA,NA
01/03/2015,REM,Aintree University Hospital,NA,NA
01/03/2015,REN,The Clatterbridge Cancer Centre,NA,NA
01/03/2015,REP,Liverpool Women's,NA,NA
01/03/2015,RET,The Walton Centre,NA,NA
01/03/2015,RF4,"Barking, Havering And Redbridge University Hospitals",NA,NA
01/03/2015,RFF,Barnsley Hospital,NA,NA
01/03/2015,RFR,The Rotherham,NA,NA
01/03/2015,RFS,Chesterfield Royal Hospital,NA,NA
01/03/2015,RFW,West Middlesex University Hospital,NA,NA
01/03/2015,RGD,Leeds And York Partnership,509,451
01/03/2015,RGM,Papworth Hospital,NA,NA
01/03/2015,RGN,Peterborough And Stamford Hospitals,NA,NA
01/03/2015,RGP,James Paget University Hospitals,NA,NA
01/03/2015,RGQ,Ipswich Hospital,NA,NA
01/03/2015,RGR,West Suffolk,NA,NA
01/03/2015,RGT,Cambridge University Hospitals,NA,NA
01/03/2015,RH5,Somerset Partnership,144,130
01/03/2015,RH8,Royal Devon And Exeter,NA,NA
01/03/2015,RHA,Nottinghamshire Healthcare,977,821
01/03/2015,RHM,University Hospital Southampton,NA,NA
01/03/2015,RHQ,Sheffield Teaching Hospitals,NA,NA
01/03/2015,RHU,Portsmouth Hospitals,NA,NA
01/03/2015,RHW,Royal Berkshire,NA,NA
01/03/2015,RJ1,Guy's And St Thomas',NA,NA
01/03/2015,RJ2,Lewisham And Greenwich,NA,NA
01/03/2015,RJ6,Croydon Health Services,NA,NA
01/03/2015,RJ7,St George's University Hospitals,NA,NA
01/03/2015,RJ8,Cornwall Partnership,118,98
01/03/2015,RJC,South Warwickshire,NA,NA
01/03/2015,RJE,University Hospitals Of North Midlands,NA,NA
01/03/2015,RJF,Burton Hospitals,NA,NA
01/03/2015,RJL,Northern Lincolnshire And Goole,NA,NA
01/03/2015,RJN,East Cheshire,NA,NA
01/03/2015,RJR,Countess Of Chester Hospital,NA,NA
01/03/2015,RJX,Calderstones Partnership,NA,NA
01/03/2015,RJZ,King's College Hospital,NA,NA
01/03/2015,RK5,Sherwood Forest Hospitals,NA,NA
01/03/2015,RK9,Plymouth Hospitals,NA,NA
01/03/2015,RKB,University Hospitals Coventry And Warwickshire,NA,NA
01/03/2015,RKE,The Whittington Hospital,10,9
01/03/2015,RKL,West London Mental Health,769,715
01/03/2015,RL1,The Robert Jones And Agnes Hunt Orthopaedic Hospital,NA,NA
01/03/2015,RL4,The Royal Wolverhampton,NA,NA
01/03/2015,RLN,City Hospitals Sunderland,NA,NA
01/03/2015,RLQ,Wye Valley,NA,NA
01/03/2015,RLT,George Eliot Hospital,NA,NA
01/03/2015,RLU,Birmingham Women's,NA,NA
01/03/2015,RLY,North Staffordshire Combined Healthcare,173,143
01/03/2015,RM1,Norfolk And Norwich University Hospitals,NA,NA
01/03/2015,RM2,University Hospital Of South Manchester,NA,NA
01/03/2015,RM3,Salford Royal,NA,NA
01/03/2015,RMC,Bolton,NA,NA
01/03/2015,RMP,Tameside Hospital,NA,NA
01/03/2015,RMY,Norfolk And Suffolk,438,399
01/03/2015,RN3,Great Western Hospitals,NA,NA
01/03/2015,RN5,Hampshire Hospitals,NA,NA
01/03/2015,RN7,Dartford And Gravesham,NA,NA
01/03/2015,RNA,The Dudley Group,NA,NA
01/03/2015,RNL,North Cumbria University Hospitals,NA,NA
01/03/2015,RNN,Cumbria Partnership,122,113
01/03/2015,RNQ,Kettering General Hospital,NA,NA
01/03/2015,RNS,Northampton General Hospital,NA,NA
01/03/2015,RNU,Oxford Health,402,375
01/03/2015,RNZ,Salisbury,NA,NA
01/03/2015,RP1,Northamptonshire Healthcare,206,178
01/03/2015,RP4,Great Ormond Street Hospital For Children,9,7
01/03/2015,RP5,Doncaster And Bassetlaw Hospitals,NA,NA
01/03/2015,RP6,Moorfields Eye Hospital,NA,NA
01/03/2015,RP7,Lincolnshire Partnership,237,202
01/03/2015,RPA,Medway,NA,NA
01/03/2015,RPC,Queen Victoria Hospital,NA,NA
01/03/2015,RPG,Oxleas,423,405
01/03/2015,RPY,The Royal Marsden,NA,NA
01/03/2015,RQ3,Birmingham Children's Hospital,34,31
01/03/2015,RQ6,Royal Liverpool And Broadgreen University Hospitals,NA,NA
01/03/2015,RQ8,Mid Essex Hospital Services,NA,NA
01/03/2015,RQM,Chelsea And Westminster Hospital,NA,NA
01/03/2015,RQQ,Hinchingbrooke Health Care,NA,NA
01/03/2015,RQW,The Princess Alexandra Hospital,NA,NA
01/03/2015,RQX,Homerton University Hospital,NA,NA
01/03/2015,RQY,South West London And St George's Mental Health,401,324
01/03/2015,RR1,Heart Of England,NA,NA
01/03/2015,RR7,Gateshead Health,36,25
01/03/2015,RR8,Leeds Teaching Hospitals,NA,NA
01/03/2015,RRD,North Essex Partnership University,334,329
01/03/2015,RRE,South Staffordshire And Shropshire Healthcare,306,272
01/03/2015,RRF,"Wrightington, Wigan And Leigh",NA,NA
01/03/2015,RRJ,The Royal Orthopaedic Hospital,NA,NA
01/03/2015,RRK,University Hospitals Birmingham,NA,NA
01/03/2015,RRP,"Barnet, Enfield And Haringey Mental Health",506,502
01/03/2015,RRV,University College London Hospitals,12,7
01/03/2015,RT1,Cambridgeshire And Peterborough,243,222
01/03/2015,RT2,Pennine Care,508,466
01/03/2015,RT3,Royal Brompton & Harefield,NA,NA
01/03/2015,RT5,Leicestershire Partnership,417,370
01/03/2015,RTD,The Newcastle Upon Tyne Hospitals,NA,NA
01/03/2015,RTE,Gloucestershire Hospitals,NA,NA
01/03/2015,RTF,Northumbria Healthcare,45,28
01/03/2015,RTG,Derby Teaching Hospitals,NA,NA
01/03/2015,RTH,Oxford University Hospitals,NA,NA
01/03/2015,RTK,Ashford And St Peter's Hospitals,NA,NA
01/03/2015,RTP,Surrey And Sussex Healthcare,NA,NA
01/03/2015,RTQ,2gether,205,203
01/03/2015,RTR,South Tees Hospitals,NA,NA
01/03/2015,RTV,5 Boroughs Partnership,305,281
01/03/2015,RTX,University Hospitals Of Morecambe Bay,NA,NA
01/03/2015,RV3,Central And North West London,823,792
01/03/2015,RV5,South London And Maudsley,791,720
01/03/2015,RV9,Humber,203,176
01/03/2015,RVJ,North Bristol,20,13
01/03/2015,RVN,Avon And Wiltshire Mental Health Partnership,525,456
01/03/2015,RVR,Epsom And St Helier University Hospitals,NA,NA
01/03/2015,RVV,East Kent Hospitals University,NA,NA
01/03/2015,RVW,North Tees And Hartlepool,NA,NA
01/03/2015,RVY,Southport And Ormskirk Hospital,NA,NA
01/03/2015,RW1,Southern Health,468,364
01/03/2015,RW3,Central Manchester University Hospitals,10,9
01/03/2015,RW4,Mersey Care,618,533
01/03/2015,RW5,Lancashire Care,495,463
01/03/2015,RW6,Pennine Acute Hospitals,NA,NA
01/03/2015,RWA,Hull And East Yorkshire Hospitals,NA,NA
01/03/2015,RWD,United Lincolnshire Hospitals,NA,NA
01/03/2015,RWE,University Hospitals Of Leicester,NA,NA
01/03/2015,RWF,Maidstone And Tunbridge Wells,NA,NA
01/03/2015,RWG,West Hertfordshire Hospitals,NA,NA
01/03/2015,RWH,East And North Hertfordshire,NA,NA
01/03/2015,RWJ,Stockport,NA,NA
01/03/2015,RWK,East London,685,581
01/03/2015,RWN,South Essex Partnership University,613,551
01/03/2015,RWP,Worcestershire Acute Hospitals,NA,NA
01/03/2015,RWR,Hertfordshire Partnership University,434,433
01/03/2015,RWV,Devon Partnership,286,267
01/03/2015,RWW,Warrington And Halton Hospitals,NA,NA
01/03/2015,RWX,Berkshire Healthcare,150,126
01/03/2015,RWY,Calderdale And Huddersfield,NA,NA
01/03/2015,RX1,Nottingham University Hospitals,NA,NA
01/03/2015,RX2,Sussex Partnership,596,533
01/03/2015,RX3,"Tees, Esk And Wear Valleys",717,626
01/03/2015,RX4,"Northumberland, Tyne And Wear",658,572
01/03/2015,RXA,Cheshire And Wirral Partnership,287,248
01/03/2015,RXC,East Sussex Healthcare,NA,NA
01/03/2015,RXE,Rotherham Doncaster And South Humber,269,192
01/03/2015,RXF,Mid Yorkshire Hospitals,NA,NA
01/03/2015,RXG,South West Yorkshire Partnership,456,398
01/03/2015,RXH,Brighton And Sussex University Hospitals,NA,NA
01/03/2015,RXK,Sandwell And West Birmingham Hospitals,NA,NA
